"ID","pres","route","lat","long","off","doy","sun","Agriculture","Water","Grassland","Shrubland","Wetland","Taiga","Wet","Deciduous","Coniferous","Mixedwood","Tree","Temperature","Precipitation","Elevation","Height","doy.st","sun.st","Agriculture.st","Water.st","Grassland.st","Shrubland.st","Wetland.st","Taiga.st","Wet.st","Deciduous.st","Coniferous.st","Mixedwood.st","Tree.st","Temperature.st","Precipitation.st","Elevation.st","Height.st"
"cns-699",0,613,50.265741,-105.397253,0.0504854927950519,165,0.51773235393895,0.988662123680115,0,0,0,0,0,0,0.0113378688693047,0,0,0.0113378688693047,260.620849609375,0.00000955729865381727,557.303039550781,1.86876428127289,-1.99703065119221,-0.0660809467704996,0.727839322223899,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.28075643441448,-0.103430984755887,-0.157351101226468,-0.29102457615393,-0.495608667504527,-0.931887535464764,-1.2045443370438,-0.740073433407591
"cns-700",0,613,50.251198,-105.397248,0.0521980584079576,165,0.685594742231899,1,0,0,0,0,0,0,0,0,0,0,260.644378662109,0.00000955813993641641,561,0,-1.99703065119221,0.176006066521812,0.76784051103306,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.4802033451145,-0.931539523752864,-1.18815348503034,-1.24438258417143
"cns-701",0,613,50.294913,-105.397339,0.0447507078456625,165,0.215325885083939,0.988662123680115,0,0,0,0,0,0,0.0113378688693047,0,0,0.0113378688693047,260.573822021484,0.00000955561608861899,561.010498046875,2.37853360176086,-1.99703065119221,-0.50220412832337,0.727839322223899,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.28075643441448,-0.103430984755887,-0.157351101226468,-0.29102457615393,-0.526399331321687,-0.932583558888565,-1.18810694086653,-0.602505878378315
"cns-702",0,613,50.236725,-105.397248,0.0527058778477686,165,0.836783427463637,1,0,0,0,0,0,0,0,0,0,0,260.664520263672,0.00000955886116571492,573.026672363281,0,-1.99703065119221,0.394046674805475,0.76784051103306,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.467015909605529,-0.931241174252824,-1.13483200387613,-1.24438258417143
"cns-703",0,613,50.22193,-105.396835,0.0520861219681317,165,1.00469179113706,0.988319456577301,0,0.0116805573925376,0,0,0,0,0,0,0,0,260.688049316406,0.00000955970153881935,584.107360839844,2.5270049571991,-1.99703065119221,0.63619999266224,0.726630357591404,-0.355336905936286,-0.537600721054518,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.451610587215502,-0.930893538769801,-1.08570463897155,-0.562439047090844
"cns-704",0,613,50.207178,-105.396127,0.0504942998755399,165,1.15594865063826,0.986394584178925,0,0.0136054418981075,0,0,0,0,0,0,0,0,260.711547851562,0.00000956054282141849,591,0.73448383808136,-1.99703065119221,0.854338920202797,0.719839210636842,-0.355336905936286,-0.529040130440914,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.436225245788369,-0.930545527057901,-1.0551454187667,-1.04617303771099
"cns-705",0,613,50.192603,-105.396153,0.0480110932717687,165,1.30714108480348,0.986394584178925,0,0.0136054418981075,0,0,0,0,0,0,0,0,260.731719970703,0.000009561264050717,591.163330078125,4.23324298858643,-1.99703065119221,1.07238493510624,0.719839210636842,-0.355336905936286,-0.529040130440914,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.423017829316504,-0.93024717755786,-1.05442127817156,-0.101989614686338
"cns-706",0,613,50.178553,-105.396175,0.0451576607702011,165,1.4416232010391,0.993558585643768,0,0.00644143158569932,0,0,0,0,0,0,0,0,260.755218505859,0.00000956210533331614,597,3.16132688522339,-1.99703065119221,1.2663317399372,0.745114541495912,-0.355336905936286,-0.56090082611315,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.349339185133305,-0.103430984755887,-0.157351101226468,-0.356897067603903,-0.407632487889371,-0.92989916584596,-1.02854380551397,-0.391259430678805
"cns-707",0,711,51.1808154,-103.6674464,0.02741919600584,168,-0.399166310363345,0.882187724113464,0,0,0,0,0,0,0.117812253534794,0,0,0.117812253534794,258.434783935547,0.0000101123350759735,689.131896972656,1.32422292232513,-1.70190941575307,-1.38840967919195,0.352186736127359,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,0.363306948715945,-0.103430984755887,-0.157351101226468,0.327586652672949,-1.9269049823745,-0.702286714481185,-0.620067623596167,-0.88702465301228
"cns-708",0,711,51.180847,-103.619586,0.0368820301429747,168,-0.0793108970589103,0.907884836196899,0,0,0,0,0,0,0.092115119099617,0,0,0.092115119099617,258.414855957031,0.0000101238629213185,696.909057617188,11.7614860534668,-1.70190941575307,-0.927122058542143,0.442848779291194,-0.355336905936286,-0.589547977987015,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,0.207865023476608,-0.103430984755887,-0.157351101226468,0.178287495319597,-1.93995255114322,-0.697518013455954,-0.585586786984474,1.92959987192758
"cns-709",0,711,51.180986,-103.597739,0.0411232029260096,168,0.0721338274081553,0.921044647693634,0,0.00907029490917921,0,0,0,0,0.0698850303888321,0,0,0.0698850303888321,258.403961181641,0.0000101301502581919,699,10.7454032897949,-1.70190941575307,-0.70871219676223,0.4892779419952,-0.355336905936286,-0.549209411575649,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,0.0733952522979421,-0.103430984755887,-0.157351101226468,0.0491317125694714,-1.9470857548958,-0.694917143224204,-0.576316380217588,1.65539737309551
"cns-710",0,711,51.180991,-103.551202,0.0481638147433971,168,0.375236642625598,0.963948607444763,0,0.00907029490917921,0,0,0,0,0.0269811004400253,0,0,0.0269811004400253,258.384002685547,0.0000101416771940421,697.747375488281,6.50147485733032,-1.70190941575307,-0.271584761589402,0.640647505945684,-0.355336905936286,-0.549209411575649,-0.239178421536425,-0.197037260446511,NA,-0.197037260446511,-0.186130551577173,-0.103430984755887,-0.157351101226468,-0.200138127406755,-1.96015330462742,-0.690148818427851,-0.581870019019526,0.510120804441842
